height,bip158_bytes
710189,21860
710190,34398
710191,9925
710192,24268
710193,34881
710194,37184
710195,30120
710196,39816
710197,33677
710198,36443
710199,28378
710200,6794
710201,38014
710202,38689
710203,32091
710204,30251
710205,28968
710206,13377
710207,3065
710208,38130
710209,26919
710210,40239
710211,15624
710212,37498
710213,24315
710214,11280
710215,22986
710216,27732
710217,15301
710218,20511
710219,188
710220,7747
710221,15195
710222,1282
710223,14962
710224,43930
710225,12353
710226,9683
710227,28020
710228,40919
710229,15986
710230,17184
710231,16141
710232,40693
710233,24591
710234,36786
710235,34316
710236,30166
710237,35156
710238,30271
710239,29322
710240,24193
710241,26299
710242,29599
710243,19420
710244,9133
710245,25002
710246,9531
710247,10669
710248,22013
710249,18859
710250,2631
710251,10503
710252,2651
710253,29886
710254,33408
710255,30773
710256,35334
710257,22085
710258,35491
710259,21316
710260,34974
710261,20688
710262,19372
710263,10200
710264,35037
710265,12979
710266,28824
710267,25541
710268,31589
710269,21701
710270,22729
710271,32648
710272,35633
710273,28463
710274,33279
710275,28333
710276,36612
710277,31527
710278,31792
710279,35267
710280,34310
710281,41853
710282,36920
710283,28620
710284,28910
710285,23526
710286,24771
710287,30106
710288,36757
710289,23884
710290,32298
710291,34153
710292,25461
710293,30659
710294,33475
710295,11772
710296,34364
710297,36685
710298,31618
710299,34359
710300,36381
710301,38968
710302,25916
710303,35035
710304,23913
710305,32783
710306,33498
710307,36507
710308,26032
710309,22334
710310,34969
710311,26269
710312,33727
710313,38960
710314,33039
710315,30661
710316,39375
710317,36071
710318,37739
710319,30325
710320,35833
710321,37543
710322,37745
710323,33516
710324,26524
710325,35341
710326,37650
710327,30746
710328,30981
710329,30781
710330,33948
710331,20877
710332,32476
710333,28940
710334,31788
710335,22127
710336,36546
710337,24958
710338,16372
710339,14620
710340,7197
710341,1047
710342,8277
710343,32542
710344,38480
710345,25780
710346,36574
710347,29871
710348,30253
710349,36892
710350,35229
710351,16803
710352,32564
710353,38106
710354,32745
710355,30849
710356,25756
710357,20570
